Row ID,Invoice ID,Order Date,Gender,Customer Name,Segment,City,State,Member,Region,Category,Sub-Category,Price,Quantity,Total,Rating,Payment
1,CA-2016-152156,08-Nov,M,Claire Gute,Consumer,Henderson,Kentucky,Yes,South,Furniture,Bookcases,261.96,2,30,5,Cash
2,CA-2016-152156,08-Nov,M,Claire Gute,Consumer,Henderson,Kentucky,Yes,South,Furniture,Chairs,731.94,3,45,4,Cash
3,CA-2016-138688,12-Jun,M,Darrin Van Huff,Corporate,Los Angeles,California,Yes,West,Office Supplies,Labels,14.62,2,55,5,Gpay
4,US-2015-108966,11-Oct,M,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Yes,South,Furniture,Tables,957.5775,5,84,2,Cash
5,US-2015-108966,11-Oct,F,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Yes,South,Office Supplies,Storage,22.368,2,400,1,Cash
6,CA-2014-115812,09-Jun,M,Brosina Hoffman,Consumer,Los Angeles,California,Yes,West,Furniture,Furnishings,48.86,7,12,3,Cash
7,CA-2014-115812,09-Jun,F,Brosina Hoffman,Consumer,Los Angeles,California,Yes,West,Office Supplies,Art,7.28,4,555,4,Cash
8,CA-2014-115812,09-Jun,M,Brosina Hoffman,Consumer,Los Angeles,California,No,West,Technology,Phones,907.152,6,255,5,PhonePay
9,CA-2014-115812,09-Jun,F,Brosina Hoffman,Consumer,Los Angeles,California,Yes,West,Office Supplies,Binders,18.504,3,100,1,Cash
10,CA-2014-115812,09-Jun,F,Brosina Hoffman,Consumer,Los Angeles,California,Yes,West,Office Supplies,Appliances,114.9,5,80,2,Cash
11,CA-2014-115812,09-Jun,F,Brosina Hoffman,Consumer,Los Angeles,California,Yes,West,Furniture,Tables,1706.184,9,60,5,Cash
12,CA-2014-115812,09-Jun,M,Brosina Hoffman,Consumer,Los Angeles,California,Yes,West,Technology,Phones,911.424,4,50,5,Card
13,CA-2017-114412,15-Apr,F,Andrew Allen,Consumer,Concord,North Carolina,No,South,Office Supplies,Paper,15.552,3,44,1,Card
14,CA-2016-161389,05-Dec,M,Irene Maddox,Consumer,Seattle,Washington,No,West,Office Supplies,Binders,407.976,3,77,2,Cash
15,US-2015-118983,22-Nov,M,Harold Pawlan,Home Office,Fort Worth,Texas,Yes,Central,Office Supplies,Appliances,68.81,5,48,3,Cash
16,US-2015-118983,22-Nov,M,Harold Pawlan,Home Office,Fort Worth,Texas,Yes,Central,Office Supplies,Binders,2.544,3,94,3,Cash
